IdVenta,IdCliente,IdProducto,Cantidad,PrecioUnitario,FechaVenta,Sucursal
4250,618,63,1,21370.97,11/11/2025,Metepec
1977,400,221,16,2869.44,14/11/2025,CDMX Norte
2744,311,220,4,17756.73,29/12/2023,Online
1536,832,436,20,5198.57,01/10/2024,Toluca Centro
1552,622,415,14,5402.72,14/10/2025,Online
3789,297,45,8,15359.97,20/06/2023,CDMX Norte
2983,475,148,5,10288.71,08/03/2023,Online
4494,308,252,3,19366.19,01/05/2025,Toluca Centro
3473,496,79,4,2282.36,26/05/2025,Puebla
3069,892,344,4,12716.15,07/08/2023,Metepec
2356,353,138,20,21636.44,31/03/2024,Toluca Centro
3061,394,435,8,21469.12,15/03/2023,Metepec
1433,229,77,17,5438.76,19/11/2024,Monterrey
1392,235,265,3,12934.28,03/08/2025,Puebla
2958,118,179,20,22720.59,10/10/2025,Metepec
4673,639,450,19,14870.02,19/11/2025,Toluca Centro
4150,450,202,9,10070.66,18/01/2025,Toluca Centro
4512,459,40,1,1652.84,03/11/2023,Monterrey
275,398,239,15,14640.22,2025-02-30,Toluca Centro
796,477,237,1,-4942.52,11/09/2023,CDMX Norte
2522,100,169,14,10190.52,15/02/2024,Metepec
2945,471,314,3,23467.85,02/04/2024,Toluca Centro
1512,750,105,3,4176.15,27/09/2023,Metepec
3986,187,113,12,19732.46,03/06/2025,Metepec
4441,390,229,8,483.79,15/04/2026,CDMX Norte
1497,884,321,3,1746.29,29/05/2024,Metepec
4249,494,77,4,8596.32,04/05/2026,CDMX Norte
4145,312,184,4,13049.1,27/01/2025,Toluca Centro
1195,301,285,8,16589.19,10/12/2024,Toluca Centro
1267,716,117,13,22675.64,19/07/2024,Toluca Centro
687,318,364,-10,18104.63,16/12/2024,Guadalajara
3163,562,424,2,14936.07,15/05/2026,Metepec
2452,256,189,13,13993.05,24/07/2024,Monterrey
2181,697,170,9,733.36,07/05/2026,Guadalajara
3788,580,290,11,24466.45,18/07/2025,Guadalajara
1609,367,409,9,6166.4,19/02/2024,Toluca Centro
1875,442,101,15,5681.44,26/12/2025,Monterrey
2475,438,34,9,17362.28,18/09/2025,Monterrey
1410,632,132,19,11735.8,18/02/2023,Toluca Centro
1067,767,412,4,8038.08,31/31/2025,Monterrey
1672,647,200,17,15451.59,25/06/2023,Puebla
4795,683,428,6,24326.33,13/07/2025,Puebla
2566,736,33,2,6771.19,25/01/2026,Toluca Centro
3554,401,97,8,19114.67,17/12/2023,Online
3834,666,137,11,3094.08,11/01/2023,Toluca Centro
2824,891,153,16,13463.52,18/02/2024,Puebla
577,52830,167,9,4445.33,07/06/2026,Monterrey
180,890,14,3,15725.53,14/12/2023,
500,83,82796,13,24135.7,07/02/2025,CDMX Norte
2585,477,192,11,9465.57,27/09/2024,Monterrey
1674,702,319,15,3543.7,27/10/2024,Guadalajara
4804,363,319,12,20866.55,22/03/2023,Guadalajara
2083,590,387,4,487.8,25/07/2025,Toluca Centro
3664,305,220,15,24226.12,04/03/2025,Guadalajara
3105,45,386,14,3501.58,06/10/2023,Online
2069,45,71,13,17722.12,20/03/2025,Metepec
4002,465,325,17,17708.34,27/12/2025,Toluca Centro
2955,123,140,13,7196.61,25/05/2023,Guadalajara
2288,845,362,17,1189.1,07/01/2023,Toluca Centro
3199,674,413,18,13574.06,07/01/2026,Toluca Centro
3162,529,112,2,4076.15,06/05/2023,Online
3880,384,221,9,9751.9,09/09/2024,Metepec
648,38,166,15,7238.15,01/02/2023,
3351,731,275,15,16681.34,03/10/2023,Toluca Centro
4288,269,376,17,23632.03,26/04/2023,Online
224,150,85153,2,17928.37,17/09/2024,Metepec
515,859,195,19,22253.58,2025-02-30,Puebla
4650,737,13,4,22935.65,17/12/2025,Monterrey
120,497,153,20,21047.8,22/08/2023,
4073,711,445,6,10231.34,29/09/2024,Puebla
324,743,431,1,17514.12,15/12/2024,
388,115,92,10,-3847.35,04/10/2023,Online
192,171,387,4,7414.15,02/05/2026,
2409,810,391,17,23557.07,08/09/2023,Guadalajara
2518,470,383,13,11612.48,03/01/2023,Guadalajara
2136,181,441,3,1430.35,26/04/2024,Toluca Centro
124,470,178,14,-1138.98,15/05/2024,CDMX Norte
1842,451,230,10,4498.78,25/02/2026,Monterrey
2203,819,36,5,18669.7,30/04/2023,Puebla
1942,389,273,8,12397.08,04/03/2024,Online
3807,745,118,6,1928.92,28/01/2023,Puebla
364,329,48,6,-1587.59,25/07/2024,Online
3218,568,228,11,21035.02,05/07/2025,Monterrey
817,57783,20,6,14932.63,07/04/2023,CDMX Norte
3015,453,439,1,11490.33,02/06/2024,Guadalajara
4531,116,307,3,22885.12,08/03/2024,Online
2199,225,303,7,16158.68,06/05/2024,Toluca Centro
2756,634,381,7,15679.61,10/07/2025,Monterrey
4156,257,73,2,9486.3,22/04/2025,Guadalajara
974,649,87710,4,5479.9,07/07/2023,Monterrey
85,59166,236,20,11242.07,27/01/2025,Monterrey
3257,667,340,7,1295.98,11/01/2023,Online
2041,800,339,12,19181.77,20/04/2024,CDMX Norte
1531,473,427,5,13307.32,10/02/2025,Toluca Centro
725,572,437,12,4399.32,2025-02-30,Online
2217,864,233,5,6327.24,05/01/2023,Online
2780,859,318,20,24533.94,12/08/2023,Guadalajara
258,565,367,19,21443.05,07/09/2025,
561,767,292,-7,15779.34,07/05/2024,Online
3108,176,18,15,1361.51,10/05/2025,CDMX Norte
3595,758,311,2,24164.14,04/08/2024,Metepec
1522,656,435,9,8361.45,03/05/2024,Online
1811,230,82,13,4625.31,17/08/2023,Toluca Centro
3874,57,47,8,4268.99,15/02/2026,Toluca Centro
4340,581,384,11,9963.82,12/06/2024,Guadalajara
1903,344,29,17,1400.5,02/10/2023,Puebla
1426,408,363,8,6776.95,06/04/2025,CDMX Norte
4583,363,378,18,19294.83,17/03/2024,Online
1685,603,292,19,17537.29,03/07/2023,Online
2804,253,155,19,7693.84,14/04/2026,Guadalajara
4805,546,411,6,9430.85,10/11/2023,Monterrey
4563,455,348,7,13635.1,18/05/2023,Guadalajara
3576,630,217,3,16933.72,06/03/2024,Monterrey
2255,753,185,2,23468.61,11/04/2025,Puebla
3248,371,7,18,646.25,17/06/2024,CDMX Norte
3106,603,295,18,426.54,08/02/2025,CDMX Norte
3206,8,252,20,10026.05,09/06/2025,Guadalajara
1569,541,306,9,4902.12,22/12/2023,Guadalajara
2168,235,41,6,13386.6,09/09/2025,Monterrey
2972,581,212,1,9416.46,06/08/2024,CDMX Norte
3379,63,116,8,24944.2,03/12/2023,Puebla
3288,466,349,7,10675.56,22/01/2026,Monterrey
3572,147,224,2,24790.42,01/05/2024,Guadalajara
3763,170,252,8,19385.73,28/04/2023,Toluca Centro
190,116,161,17,-3068.35,30/03/2024,Puebla
503,304,41,20,12448.22,NO_FECHA,Toluca Centro
4192,516,51,1,12661.4,10/02/2024,Puebla
833,565,191,3,16379.75,2026-13-01,Metepec
4399,578,389,17,1810.87,15/03/2023,Toluca Centro
81,277,14,-20,5046.8,10/03/2026,Toluca Centro
2677,102,237,17,16836.19,18/03/2025,Metepec
4315,656,134,7,7225.29,17/09/2025,Metepec
4572,706,224,1,2649.31,06/12/2025,Guadalajara
3948,800,77,14,11405.8,19/08/2024,Guadalajara
431,764,369,6,8498.69,2025-02-30,Online
1381,343,59,5,13551.97,05/02/2026,Guadalajara
3689,604,247,5,3811.3,26/09/2025,Monterrey
1350,137,388,1,5349.96,19/07/2024,Guadalajara
194,810,89961,18,4000.8,20/03/2024,Puebla
377,626,361,7,7834.36,2025-02-30,Metepec
2082,213,6,1,20092.53,30/07/2023,Toluca Centro
516,425,205,2,23408.47,10/07/2025,
1962,805,37,10,9656.4,04/06/2025,Metepec
2392,526,109,18,7879.18,05/01/2026,Guadalajara
2077,680,266,16,22813.32,11/06/2023,CDMX Norte
1604,894,365,4,1442.97,19/07/2024,Metepec
2874,707,111,20,22744.66,09/09/2024,Metepec
2840,46,379,20,19281.76,19/12/2024,Metepec
2600,19,336,13,6484.12,18/05/2024,Online
4709,482,5,17,20157.16,29/03/2025,Monterrey
3718,416,201,9,7526.64,20/01/2023,Puebla
2316,214,401,8,15903.83,27/09/2025,Metepec
2868,239,394,13,96.37,27/09/2025,Puebla
2699,768,400,10,4365.74,05/04/2023,Metepec
2672,198,53,11,12485.44,14/01/2023,Metepec
3752,304,362,18,6299.21,23/12/2025,Online
4070,384,160,2,18835.18,20/01/2026,Toluca Centro
2092,47,337,6,6664.12,20/07/2023,Monterrey
3132,126,438,13,5030.21,23/04/2026,Puebla
686,472,84334,5,18234.55,28/03/2024,Toluca Centro
4155,796,128,20,15400.96,22/04/2026,Monterrey
831,47,322,-13,3763.83,06/06/2024,Toluca Centro
2315,258,428,13,2939.47,24/12/2023,Guadalajara
153,162,155,-6,10620.88,19/11/2023,CDMX Norte
4131,857,3,6,13674.28,27/03/2023,Online
838,502,360,10,-3742.83,25/05/2025,Online
1974,338,6,14,10173.82,14/01/2026,Monterrey
2197,9,92,6,9775.77,29/07/2025,Metepec
4662,84,52,5,24125.37,04/07/2025,CDMX Norte
3589,531,67,8,7808.92,14/11/2024,CDMX Norte
836,656,80212,19,1738.39,12/05/2025,Guadalajara
249,704,421,-20,23023.47,21/04/2023,Metepec
1110,122,289,13,21558.95,07/05/2024,Guadalajara
1721,642,432,7,7847.94,25/05/2023,CDMX Norte
1459,213,226,2,11812.3,11/07/2024,Puebla
2850,510,281,19,16269.04,25/10/2023,Online
2957,494,78,7,14067.58,22/04/2024,Guadalajara
3657,400,279,20,19182.99,06/03/2023,Puebla
174,650,375,2,1551.49,17/03/2024,
117,642,229,-10,12998.14,09/05/2025,Metepec
176,804,88177,11,16866.02,07/01/2026,CDMX Norte
431,764,369,6,8498.69,2025-02-30,Online
1956,732,51,18,11810.59,21/01/2023,Guadalajara
752,332,82356,17,4007.47,16/12/2025,CDMX Norte
66,433,11,20,11171.85,06/06/2026,
4130,310,365,4,16410.27,10/02/2025,Monterrey
1502,126,83,4,19950.9,03/10/2025,CDMX Norte
3829,763,288,12,4579.37,25/10/2024,Metepec
3907,172,84,14,16755.33,10/08/2024,Monterrey
1191,391,336,9,23324.13,01/05/2026,Online
2160,100,222,13,13905.53,18/05/2024,Online
4253,217,320,12,23621.08,28/04/2026,Puebla
714,43,288,16,3923.77,29/09/2023,
309,797,130,-7,2672.82,25/04/2023,Monterrey
963,888,431,-15,13978.1,28/01/2024,Guadalajara
605,644,293,17,3962.92,2025-02-30,Puebla
925,57538,261,11,20122.15,20/04/2025,Guadalajara
4393,120,21,16,9932.67,10/02/2026,CDMX Norte
2851,126,145,16,24115.21,08/06/2025,Puebla
1990,752,388,10,12057.14,21/11/2024,Puebla
1993,46,276,10,995.32,07/01/2025,Puebla
1636,548,18,1,18139.7,22/02/2025,Toluca Centro
3409,123,54,6,1878.66,22/11/2023,Metepec
414,812,191,16,13941.08,10/10/2025,
1734,133,365,20,2616.09,05/10/2025,Puebla
2960,622,32,14,8177.47,12/06/2026,Online
3802,675,92,14,17976.05,11/09/2023,Metepec
2351,31,132,11,5830.71,31/12/2025,Puebla
3365,611,88,8,21056.32,17/02/2024,Metepec
3898,58,60,8,2089.62,09/09/2025,Toluca Centro
3746,886,406,3,16141.44,12/01/2024,Puebla
293,333,49,15,17902.14,2026-13-01,Guadalajara
1223,557,210,5,3085.55,23/12/2023,Guadalajara
592,158,265,12,-4145.18,04/08/2025,Monterrey
4439,218,272,6,17098.11,08/07/2023,CDMX Norte
2062,762,51,9,3578.39,26/09/2025,Puebla
827,426,165,20,3012.49,2025-02-30,CDMX Norte
3421,111,207,4,13074.7,17/02/2026,Online
3918,889,285,18,17250.85,11/11/2025,CDMX Norte
4122,735,105,7,2865.16,29/12/2023,Toluca Centro
3698,312,288,13,19568.36,03/06/2023,CDMX Norte
1967,755,30,20,18468.23,10/02/2024,Guadalajara
1014,603,396,6,5649.52,24/10/2024,
4537,681,275,18,14370,14/09/2023,Monterrey
3475,745,293,6,16809.14,17/06/2025,CDMX Norte
2285,34,161,13,22037.01,19/11/2025,Monterrey
2394,183,440,1,6502.02,18/05/2025,Toluca Centro
4066,776,435,7,22851.39,18/04/2026,Guadalajara
939,483,213,-12,7811.67,28/11/2023,Monterrey
4551,671,368,1,4247.78,13/07/2023,Guadalajara
1786,627,117,19,2991,01/06/2025,Guadalajara
2269,148,191,7,10932.19,06/06/2023,Online
4106,88,76,3,14951.35,08/06/2023,Guadalajara
2923,300,223,5,16580.78,30/03/2025,CDMX Norte
3140,44,371,5,2485.35,10/11/2024,Toluca Centro
2237,870,88,11,18722.73,14/02/2026,Toluca Centro
13,59826,169,18,2418.72,02/07/2023,Monterrey
806,394,88246,1,19442.71,16/12/2023,Metepec
105,495,289,-20,9104.99,06/04/2023,Puebla
3735,352,101,2,3615.24,11/11/2023,Puebla
1781,423,236,3,12192.69,25/07/2025,Guadalajara
2304,196,139,4,12062.68,09/12/2024,Guadalajara
4405,378,88,8,9199.17,03/03/2026,Metepec
1054,113,96,20,-3681.75,22/04/2025,Online
1087,401,422,20,6683.77,31/12/2025,Online
443,181,425,13,13874.2,2025-02-30,Online
4761,514,72,1,15394.76,07/02/2024,Guadalajara
3512,70,343,11,10917.13,08/03/2026,Puebla
671,824,163,10,24166.93,NO_FECHA,Metepec
3535,744,108,16,17904.84,08/01/2024,Monterrey
2782,93,441,11,3785.77,05/06/2025,Puebla
2530,512,290,2,24819.25,20/10/2024,Metepec
1323,126,413,17,6302.1,08/11/2023,Toluca Centro
2087,246,175,3,10324.59,07/06/2026,Monterrey
1078,516,169,4,18492.71,18/04/2025,Online
1104,429,237,11,3303.09,14/07/2023,Online
735,322,399,-4,23731.89,12/05/2025,Toluca Centro
4083,2,327,9,12331.09,05/08/2024,Puebla
2635,802,272,7,1800.05,06/07/2025,Metepec
2570,734,297,10,19393.87,27/10/2023,Puebla
4510,49,196,12,19081.09,13/09/2024,Monterrey
571,53998,158,4,10506.08,28/11/2024,CDMX Norte
18,577,378,9,6937.97,02/02/2024,
1187,327,251,9,5812.8,19/04/2025,CDMX Norte
1917,465,388,13,17582.14,27/08/2024,CDMX Norte
1539,687,101,19,5096.2,28/01/2023,Toluca Centro
863,141,198,17,571.12,NO_FECHA,Monterrey
497,315,217,11,22887.88,NO_FECHA,Metepec
71,464,163,16,9495.1,2026-13-01,Online
807,99,124,-3,605.97,07/07/2025,Toluca Centro
4044,102,130,20,22621.91,22/02/2026,CDMX Norte
3497,519,3,3,5907.64,02/12/2025,Guadalajara
4390,13,270,19,22619.5,09/03/2025,Guadalajara
1581,607,234,14,16236.68,04/07/2024,Guadalajara
2643,44,44,9,3505.3,10/08/2025,CDMX Norte
2426,274,184,8,210.36,08/06/2023,Puebla
4786,763,318,2,1252.09,15/05/2024,Metepec
1587,399,409,5,623.47,21/02/2023,Guadalajara
4077,197,317,10,3030.77,19/02/2023,CDMX Norte
66,433,11,20,11171.85,06/06/2026,
3530,666,260,8,2858.54,30/03/2025,Metepec
952,522,108,3,-3477.88,20/05/2024,Puebla
15,452,33,-15,12980.59,07/04/2024,Toluca Centro
775,55284,236,5,15609.26,22/11/2023,CDMX Norte
1878,693,17,19,1160.58,14/02/2023,Toluca Centro
33,768,375,-7,8252.16,22/12/2025,Guadalajara
3563,111,266,8,21348.35,06/06/2024,Metepec
2208,252,3,13,12834.74,25/12/2024,CDMX Norte
3913,113,255,9,14892.52,12/02/2024,CDMX Norte
292,54,326,7,-2149.84,15/12/2024,Guadalajara
2166,600,65,6,12740.61,27/02/2024,Puebla
781,58973,420,9,17704.06,27/04/2023,Guadalajara
4329,246,356,5,229.15,12/07/2024,Puebla
1905,886,232,4,19675.2,06/11/2023,Monterrey
1181,703,19,11,4096.01,27/12/2025,CDMX Norte
1081,8,211,5,16422.88,02/02/2023,Puebla
743,767,429,9,16674.03,2025-02-30,CDMX Norte
1902,425,4,11,6351.95,25/07/2025,Monterrey
237,799,332,-7,1865.49,16/02/2025,Puebla
2878,610,268,3,14615.9,07/05/2023,CDMX Norte
2388,671,388,8,7730.73,05/09/2024,Online
662,679,82722,4,13792.01,02/05/2025,Metepec
1027,52831,324,20,18300.97,29/07/2024,Puebla
4109,175,386,3,2551.6,04/05/2023,Metepec
143,453,114,2,15270.62,2026-13-01,Online
2098,576,243,2,7490.89,30/10/2024,Puebla
1377,832,234,8,9063.65,16/10/2023,Online
4659,471,76,10,18837.15,23/03/2023,Puebla
1897,534,37,12,23611.56,08/03/2025,CDMX Norte
2326,725,274,14,22739.39,16/04/2026,Toluca Centro
2609,729,109,5,10624.74,07/10/2023,CDMX Norte
576,735,272,19,15440.55,02/04/2026,
2247,326,97,1,18437,18/01/2026,CDMX Norte
3515,728,438,18,7472.75,06/06/2025,CDMX Norte
386,34,87472,7,24756.44,01/01/2023,Metepec
4110,3,326,10,24931.59,20/06/2024,Metepec
3536,687,423,16,15089.05,29/08/2025,Puebla
2929,119,46,2,23087.04,28/02/2023,Toluca Centro
3541,299,235,4,1115.19,05/01/2024,Puebla
4745,889,270,3,23005.88,13/05/2024,Online
3481,651,268,14,24622.86,23/01/2026,Metepec
1696,507,68,7,12039.27,17/08/2025,Metepec
2821,698,396,1,20463.33,16/07/2024,Guadalajara
313,56893,312,11,17115.04,15/11/2023,Metepec
239,775,407,10,19123.77,2025-02-30,Guadalajara
240,500,118,8,3208.35,21/06/2023,
4464,856,264,2,19474.67,20/01/2024,CDMX Norte
3499,675,302,15,2361.65,28/02/2024,Online
3381,799,433,2,2352.71,20/10/2023,CDMX Norte
4488,273,66,5,18805.06,12/08/2023,Metepec
873,34,138,-10,15350.79,27/09/2025,Toluca Centro
1069,59494,72,5,455.51,15/10/2025,Monterrey
3396,415,223,13,10760.27,26/05/2024,Puebla
2901,694,380,8,20415.89,16/05/2024,CDMX Norte
4686,548,25,14,12358.39,08/08/2024,Toluca Centro
1022,197,86096,1,10171.73,14/05/2026,Monterrey
3942,450,389,11,20150.03,22/03/2026,Metepec
2961,643,428,4,13493.69,26/09/2025,Toluca Centro
2950,559,119,13,18754.56,03/11/2023,Monterrey
724,810,132,18,-1371.22,06/04/2026,Monterrey
3631,687,242,5,18357.95,21/04/2025,Toluca Centro
771,759,272,-11,11787.95,19/04/2024,Online
2460,17,413,3,6280.16,04/06/2023,Puebla
1768,702,106,13,21795.98,10/06/2024,CDMX Norte
3431,355,74,16,19138.58,04/10/2023,CDMX Norte
4553,524,17,8,7029.7,14/11/2024,Puebla
2992,480,305,7,14772.33,18/09/2024,Online
2080,534,447,5,11643.45,15/05/2025,Puebla
2769,686,396,14,13215.59,04/10/2023,Monterrey
1395,109,157,12,17558.72,12/07/2025,Toluca Centro
2962,634,303,18,893.55,11/10/2023,Online
570,354,323,11,19319.06,05/11/2023,
3178,430,106,8,4477.33,28/03/2026,Toluca Centro
2472,760,156,9,22385.63,05/07/2024,Online
4115,772,126,11,2513.09,13/05/2023,Online
3507,768,433,9,18113.3,16/07/2024,Guadalajara
149,211,292,19,24238.78,31/31/2025,Toluca Centro
2413,601,364,7,15264.87,19/01/2025,CDMX Norte
545,832,320,3,15438.27,NO_FECHA,Toluca Centro
2728,727,326,15,4663.36,02/01/2025,Toluca Centro
3867,384,396,11,17450.83,13/02/2024,Online
4100,8,107,13,10222.09,04/06/2023,CDMX Norte
1593,15,112,12,8266.82,31/05/2024,Metepec
2612,6,366,12,14367.69,05/02/2025,Puebla
2910,671,280,3,19483.85,05/02/2025,Guadalajara
4006,241,132,1,10485.45,27/05/2025,Online
3449,459,91,14,5685.51,10/01/2023,CDMX Norte
1478,37,332,4,12999.18,25/02/2025,Online
4437,687,52,7,14853.81,22/12/2024,Toluca Centro
257,128,126,3,11816.43,2025-02-30,Toluca Centro
4254,255,19,9,5782.72,10/04/2024,Guadalajara
77,153,209,10,7397.16,2025-02-30,Guadalajara
2376,443,354,1,15101.32,06/06/2025,Metepec
3617,794,71,15,6407.31,14/04/2026,Online
3044,878,120,6,8189.98,27/09/2025,Toluca Centro
1346,663,383,12,15310.14,19/01/2023,Puebla
1988,671,137,6,4196.78,11/10/2025,Guadalajara
1637,789,317,20,19198.64,20/05/2025,Guadalajara
3621,242,432,2,8603.4,08/03/2026,Toluca Centro
1746,620,87,2,21334.91,21/11/2024,Guadalajara
926,733,85630,18,9104.43,16/08/2025,Online
4167,615,419,14,1580.49,08/06/2026,Puebla
987,875,396,-1,11787.3,25/11/2025,Puebla
4230,615,68,16,8719.55,13/11/2025,Toluca Centro
4353,676,89,3,4882.74,22/02/2026,Monterrey
1420,438,448,20,16104.57,26/07/2023,Online
4197,173,232,15,20759.96,29/05/2023,Puebla
4301,349,182,7,23612.74,17/07/2025,CDMX Norte
4119,26,20,10,3633.28,12/12/2023,Puebla
247,55314,3,13,1099.56,09/04/2025,Monterrey
950,503,80951,11,20908.1,06/01/2024,Toluca Centro
3685,755,84,3,6249.41,03/10/2023,Metepec
3692,748,373,12,24571.73,06/04/2023,Puebla
2167,101,7,6,1740.24,26/05/2026,CDMX Norte
1049,239,408,19,10139.96,2026-13-01,Online
480,173,207,14,6494.38,11/07/2024,
4498,708,306,13,15543.12,26/12/2025,Puebla
2443,304,24,3,7747.1,17/05/2024,CDMX Norte
830,183,88971,13,17362.73,23/02/2026,Metepec
3388,357,283,17,15531.94,07/12/2023,Online
1340,884,105,6,12860.01,29/08/2024,CDMX Norte
19,57627,178,13,24043.84,30/01/2023,Guadalajara
4356,723,70,9,18905.9,26/05/2025,Puebla
3608,325,209,13,1070.51,29/11/2024,Toluca Centro
2026,263,210,9,20170.74,19/05/2024,Online
2468,107,75,13,19448.74,25/03/2023,Toluca Centro
1394,441,68,15,5267.59,08/03/2023,Metepec
405,42,300,-6,16649.59,23/07/2025,Guadalajara
1729,139,159,13,2014.76,15/05/2024,Toluca Centro
1808,123,341,13,7909.94,12/12/2024,Online
1836,827,402,15,9795.4,19/11/2024,Guadalajara
3277,568,220,3,24505.36,03/05/2023,Toluca Centro
902,722,88399,9,3876.74,18/09/2023,Toluca Centro
801,578,313,-11,9298.58,12/07/2023,Guadalajara
3885,439,187,7,19368.13,20/08/2025,Puebla
3384,634,186,19,10000.79,25/02/2023,Guadalajara
4646,332,186,14,13774.44,19/03/2026,Monterrey
1411,866,356,13,13536.59,13/05/2025,Monterrey
1101,221,448,6,2252.36,04/06/2025,Metepec
2553,166,121,8,21985.12,13/03/2023,Toluca Centro
633,453,301,-7,12493.42,17/11/2023,Puebla
712,327,90,8,-1481.97,14/12/2023,Monterrey
4292,660,125,17,3096.98,30/01/2025,Toluca Centro
2655,148,408,2,20279.41,04/12/2025,Online
2342,551,66,9,18460.38,27/06/2023,Monterrey
2536,346,365,5,23812.14,28/01/2025,Monterrey
475,54567,127,13,21069.95,27/06/2025,Puebla
3196,247,104,7,6282.47,17/10/2023,Monterrey
1222,571,413,12,23744.18,21/06/2025,Metepec
217,53113,341,4,7013.45,06/02/2023,Guadalajara
3936,594,326,15,470.68,02/06/2025,Online
3232,53,184,13,20281.05,01/08/2024,CDMX Norte
2931,132,397,9,16154.16,29/07/2025,Online
1545,650,176,15,3563.57,15/05/2025,Guadalajara
4655,298,105,5,14682.13,03/07/2025,CDMX Norte
3175,748,166,16,8305.92,22/05/2026,Toluca Centro
2047,560,209,12,16902.6,21/11/2024,CDMX Norte
474,894,404,11,6247,30/12/2024,
1681,851,209,6,13557.58,31/03/2023,Metepec
1465,12,182,9,21020.81,20/02/2025,Metepec
1271,828,85,14,16716.86,28/01/2024,Monterrey
3886,415,353,12,12065.65,23/06/2024,CDMX Norte
3022,373,189,16,16807.66,31/01/2024,Puebla
4687,738,166,11,17996.11,20/02/2024,Monterrey
4016,139,216,15,13561.25,13/10/2024,Guadalajara
1143,146,185,14,10417.48,19/03/2026,Toluca Centro
1046,758,80197,19,20388.08,31/03/2023,Online
425,526,171,13,2414.09,NO_FECHA,Monterrey
3366,609,239,16,5530.84,24/10/2023,Monterrey
182,655,82891,20,23942.99,04/09/2023,Puebla
1266,802,236,11,7942.77,04/05/2023,Puebla
3302,41,373,6,4767.53,06/01/2025,Online
3665,752,65,9,6162.58,20/06/2025,Puebla
2723,797,427,3,2408.57,24/05/2024,Puebla
2837,90,269,3,3943.18,09/12/2023,Guadalajara
872,532,82254,2,2138.34,11/02/2026,Puebla
1158,411,85,2,12253.29,26/07/2023,CDMX Norte
1245,6,401,6,18551.08,27/03/2024,Puebla
288,329,3,11,15662.9,07/10/2023,
3584,583,151,13,6823.14,09/09/2023,Online
3548,322,55,10,23172.22,10/06/2026,Metepec
2176,35,266,3,22574.38,02/02/2026,Toluca Centro
272,868,80262,15,19528.54,22/02/2026,Toluca Centro
2463,862,42,3,1889.74,21/03/2025,Monterrey
1366,182,329,3,19007.93,04/07/2023,CDMX Norte
3278,366,321,5,5451.97,30/04/2023,Online
1045,50068,408,19,14688.31,14/10/2023,Monterrey
3234,18,58,20,17179.32,12/02/2023,Toluca Centro
31,57256,291,12,7382.49,17/08/2023,Guadalajara
2299,276,204,7,12804.07,07/04/2024,Puebla
693,530,277,-20,7353.74,03/07/2023,Metepec
2593,782,22,4,15251.2,26/08/2023,Puebla
1380,12,339,15,14838.06,07/12/2025,CDMX Norte
4485,504,130,18,7676.56,18/03/2026,Toluca Centro
960,251,188,17,4782.5,08/04/2025,
2331,303,144,3,21586.37,03/03/2025,Puebla
1337,24,386,5,12686.48,07/04/2025,CDMX Norte
3493,530,182,19,16902.53,02/09/2024,Online
2803,459,360,14,19560.99,04/03/2024,Metepec
1227,36,391,14,3855.9,13/06/2024,Puebla
1789,22,424,14,9832.04,07/06/2024,Guadalajara
2998,324,321,16,5063.34,19/06/2025,Puebla
4793,497,151,13,20782.57,12/05/2025,CDMX Norte
